No1,Name1,No2,Name2,distance
3 AG,A/OHIO/9/2015 MDCK2,25 AG,A/SWINE/SASKATCHEWAN/SD0102/2015 MDCK2,10.441506189949902
3 AG,A/OHIO/9/2015 MDCK2,26 AG,A/SWINE/MANITOBA/SD0114/2015 MDCK2,8.8717434395445
3 AG,A/OHIO/9/2015 MDCK2,27 AG,A/SWINE/ALBERTA/SD0191/2016 MDCK2,8.399402513378957
3 AG,A/OHIO/9/2015 MDCK2,28 AG,A/SWINE/SASKATCHEWAN/SD0200/2016 MDCK2,7.856417535855702
3 AG,A/OHIO/9/2015 MDCK2,29 AG,A/SWINE/MANITOBA/D0348/2014 MDCK2,8.152543042801135
3 AG,A/OHIO/9/2015 MDCK2,30 AG,A/MINNESOTA/45/2016 MDCK3,10.624858927672316
3 AG,A/OHIO/9/2015 MDCK2,31 AG,A/SWINE/MINNESOTA/A01781045/2016 MDCK2,9.491278241188526
3 AG,A/OHIO/9/2015 MDCK2,32 AG,A/SINGAPORE/1986 MDCK2,5.378526693351001
3 AG,A/OHIO/9/2015 MDCK2,33 AG,A/TAIWAN/1/1986 MDCK2,7.999886650307651
3 AG,A/OHIO/9/2015 MDCK2,34 AG,A/TEXAS/36/1991 MDCK2,7.346565176014029
3 AG,A/OHIO/9/2015 MDCK2,35 AG,A/BEIJING/262/1995 MDCK2,7.086537921827068
3 AG,A/OHIO/9/2015 MDCK2,36 AG,A/MICHIGAN/2/2003 MDCK2,5.968074469592716
3 AG,A/OHIO/9/2015 MDCK2,37 AG,A/BRISBANE/59/2007 MDCK3,5.58761894193195
3 AG,A/OHIO/9/2015 MDCK2,38 AG,A/SWINE/NORTH_CAROLINA/A01730369/2016 MDCK3,4.230927621231166
3 AG,A/OHIO/9/2015 MDCK2,39 AG,A/SOLOMON_ISLANDS/3/2006 E2/M1,5.020100488181798
3 AG,A/OHIO/9/2015 MDCK2,40 AG,A/SWINE/MINNESOTA/A01134353/2011 MDCK3,3.823089105186288
3 AG,A/OHIO/9/2015 MDCK2,41 AG,A/SWINE/NEBRASKA/A01492366/2014 MDCK3,5.879632069181467
3 AG,A/OHIO/9/2015 MDCK2,42 AG,A/SWINE/ILLINOIS/A01644323/2018 MDCK3,4.924358437989598
3 AG,A/OHIO/9/2015 MDCK2,43 AG,A/SWINE/OKLAHOMA/A01409770/2014 MDCK3,8.266852644515616
3 AG,A/OHIO/9/2015 MDCK2,44 AG,A/SWINE/ILLINOIS/A02139356/2018 MDCK3,9.794273452604914
3 AG,A/OHIO/9/2015 MDCK2,45 AG,A/SWINE/MICHIGAN/A01104117/2018 MDCK2,7.310502216429202
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,5 AG,A/SWINE/MINNESOTA/A01567490/2014 MDCK2,2.0905498563121405
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,6 AG,A/CALIFORNIA/4/2009 MDCK4,0.7105169904505448
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,7 AG,A/MEXICO/4108/2009 MDCK3,0.4137033651922108
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,8 AG,A/BRAZIL/11/1978 MDCK2,9.135710840971143
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,9 AG,A/NEW_CALEDONIA/20/1999 E2,7.771468153791941
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,10 AG,A/MICHIGAN/45/2015 MDCK3,2.716510266375245
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,11 AG,A/SWINE/NORTH_CAROLINA/A01797415/2015 MDCK3,3.562700488338696
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,12 AG,A/SWINE/IOWA/A01731653/2016 MDCK3,3.7818355975113795
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,13 AG,A/SWINE/MEXICO/AVX31/2012 MDCK2,1.569855564634652
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,14 AG,A/SWINE/MEXICO/AVX23/2012 MDCK2,2.437942375614262
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,15 AG,A/SWINE/MEXICO/AVX44/2012 MDCK2,4.207206067758285
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,16 AG,A/SWINE/MEXICO/AVX18/2012 MDCK2,8.458546521213927
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,17 AG,A/SWINE/MEXICO/AVX61/2013 MDCK2,6.959920068602526
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,18 AG,A/SOLOMON_ISLANDS/3/2006 E2,8.96403123496761
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,19 AG,A/SWINE/ALBERTA/SD0125/2015 MDCK2,3.26565507867289
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,20 AG,A/SWINE/SASKATCHEWAN/SD0094/2015 MDCK2,3.9075582840168064
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,21 AG,A/SWINE/ALBERTA/SD0014/2013 MDCK2,4.938488180411509
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,22 AG,A/SWINE/ALBERTA/SD0154/2016 MDCK2,2.4426872480436277
4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,23 AG,A/SWINE/MANITOBA/D0333/2014 MDCK2,6.4650448476361495
